HANDLE,CITYBLOCK,PARCELID,ADDRTYPE,OWNERNAME,LEGALDESC1,LEGALDESC2,LEGALDESC3,LEGALDESC4,ASRLANDUSE,VACANTLOT,CONDOMINIU,NBROFUNITS,NBROFAPTS,FRONTAGE,LANDAREA,ASDLAND,ASDTOTAL,APRLAND,COSTAPRIMP,ZONING,NBROFBLDGS,NBROFBLD_1,FIRSTYEARB,LASTYEARBU,RESSALEPRI,RESSALEDAT,VACBLDGYEA,WARD10,POLICEDIST,CENSTRACT1,CENSBLOCK1,PRECINCT90,ZIP,PARCEL9,OWNERUPDAT,ADDRESS,Y,X,NEIGHBORHO,WARD,DESCRIPTIO,USAGE,LOT_SQFT
15051010210.00,5051.01,50510102100.00,3,LRA,C. B. 5051A DELMAR,50 FT X 140 FT,DORRIS PL ADDN,LOT E51 W52,1010.00,1.00,0.00,0.00,0.00,50.00,0.00,7600.00,7600.00,40000.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,2006.00,28.00,7.00,1121.00,1000.00,11.00,63108.00,505101210,10/1/99 0:00,5044 DELMAR BLVD,38.6514090,-90.2653580,Central West End,28.00,,vacant lot,6941.00
15051010070.00,5051.01,50510100700.00,3,LRA,C. B. 5051A DELMAR BLVD,46 FT 10 IN X 140 FT,FOREST PK BLVD AD,LOT E-35 W-36,5000.00,1.00,0.00,0.00,0.00,0.00,6557.00,10100.00,10100.00,31500.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,1998.00,28.00,7.00,1121.00,1000.00,11.00,63108.00,505101070,3/25/13 0:00,5120 DELMAR BLVD,38.6516830,-90.2680580,Central West End,28.00,,vacant lot,6909.00
11037000180.00,1037.00,10370001800.00,3,LRA,C. B. 1037 SAMUEL SHEPARD DR,50 FT X 134 FT 8 IN,STODDARD ADDN BLOCK 73,BOUNDARIES N-ALLEY E-JOHNSON,1010.00,1.00,0.00,0.00,0.00,0.00,6733.00,1200.00,1200.00,6300.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,0.00,19.00,9.00,1211.00,1026.00,1.00,63103.00,103700180,3/25/13 0:00,3117 SAMUEL SHEPARD DR,38.6383560,-90.2234440,Midtown,19.00,,vacant lot,6726.00
15051010090.00,5051.01,50510100900.00,3,LRA,C. B. 5051A DELMAR BLVD,46 FT 10 IN X 140 FT,FOREST PK PL ADDN,LOT E-37 & W-38,5000.00,1.00,0.00,0.00,0.00,0.00,6556.00,8400.00,8400.00,26200.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,34000.00,11/15/78 0:00,2001.00,28.00,7.00,1121.00,1000.00,11.00,63108.00,505101090,3/25/13 0:00,5112 DELMAR BLVD,38.6516500,-90.2677330,Central West End,28.00,,vacant lot,6556.00
15051010080.00,5051.01,50510100800.00,3,LRA,C. B. 5051A DELMAR BLVD,46 FT 10 IN X 140 FT,FOREST PK BLVD,LOT E-36 W-37,5000.00,1.00,0.00,0.00,0.00,0.00,6557.00,10100.00,10100.00,31500.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,0.00,28.00,7.00,1121.00,1000.00,11.00,63108.00,505101080,3/25/13 0:00,5116 DELMAR BLVD,38.6516680,-90.2678970,Central West End,28.00,,vacant lot,6344.00
15051010100.00,5051.01,50510101000.00,3,LRA,C.B. 5051A?1 DELMAR BLVD,47 FT 4 1/2 IN X 140 FT,FOREST PK PL ADDN,LOT E-38 W-39,5000.00,1.00,0.00,0.00,0.00,0.00,6633.00,10200.00,10200.00,31800.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,1998.00,28.00,7.00,1121.00,1000.00,11.00,63108.00,505101100,3/25/13 0:00,5108 DELMAR BLVD,38.6516350,-90.2675720,Central West End,28.00,,vacant lot,6009.00
11880000220.00,1880.00,18800002200.00,3,LRA,C. B. 1880 GRAND,50 FT X 120 FT 5 IN,PAGES ADDN,LOT 4 & 5,5000.00,1.00,0.00,0.00,0.00,0.00,6020.00,3800.00,3800.00,12000.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,0.00,4.00,9.00,1115.00,2016.00,6.00,63106.00,188000220,3/25/13 0:00,1709 N GRAND BLVD,38.6494420,-90.2255140,JeffVanderLou,4.00,,vacant lot,5724.00
15211000290.00,5211.00,52110002907.00,3,LRA,CB 5211 GRAND,130FT X 37FT 6IN,LINDELL PARK 2ND ADDN,BLOCK 2 LOT W 11,5000.00,1.00,0.00,0.00,0.00,0.00,4875.00,2300.00,2300.00,7300.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,2001.00,3.00,5.00,1104.00,1014.00,12.00,63107.00,521100290,8/14/06 0:00,2834 N GRAND BLVD,38.6560220,-90.2200910,JeffVanderLou,3.00,,vacant lot,5071.00
14837000480.00,4837.00,48370004800.00,3,LRA,CB 4837 DELMAR BLVD,28FT 4IN X 170FT,MT CABANNE ADDN,LOT W 16 E 17,1010.00,1.00,0.00,0.00,0.00,28.30,0.00,400.00,400.00,2100.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,2002.00,18.00,7.00,1122.00,2013.00,13.00,63108.00,483700480,3/25/13 0:00,5081 DELMAR BLVD,38.6522280,-90.2664280,Academy,18.00,,vacant lot,4817.00
15215000230.00,5215.00,52150002300.00,3,LRA,C. B. 5215 GRAND,80 FT X 66 FT,LINDELL PARK ADDN,BLOCK 6 LOT SW PT 11,5000.00,0.00,0.00,0.00,6.00,0.00,5280.00,2500.00,18200.00,7900.00,49000.00,Area Commercial District,0.00,1.00,1909.00,1909.00,50000.00,11/12/81 0:00,2013.00,3.00,5.00,1104.00,1003.00,2.00,63107.00,521500230,3/25/13 0:00,3500 N GRAND BLVD,38.6593050,-90.2177000,JeffVanderLou,3.00,3 Story Brick Mixed Use Building-NEW PRICE,mixed,4621.00
11045000130.00,1045.00,10450001300.00,3,LRA,C. B. 1045 LEONARD,45 FT 8 IN X 91 FT 9 IN,SCHOOL SEC 16,BLOCK 16 LOTS PT 15 16,1010.00,1.00,0.00,0.00,0.00,0.00,4190.00,740.00,740.00,3900.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,0.00,19.00,9.00,1211.00,1016.00,1.00,63103.00,104500130,3/25/13 0:00,719 N LEONARD AV,38.6391950,-90.2259810,Covenant Blu / Grand Center,19.00,,vacant lot,4190.00
11037000200.00,1037.00,10370002000.00,3,LRA,C. B. 1037 SAMUEL SHEPARD DR,30 FT X 134 FT 8 IN,STODDARD ADDN BLOCK 72 BOUNDED,W-46 FT 10 3/4 IN E OF EL,1010.00,1.00,0.00,0.00,0.00,0.00,4040.00,720.00,720.00,3800.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,8/11/88 0:00,0.00,19.00,9.00,1211.00,1026.00,1.00,63103.00,103700200,3/25/13 0:00,3125 SAMUEL SHEPARD DR,38.6384040,-90.2236710,Midtown,19.00,,vacant lot,4040.00
12293000250.00,2293.00,22930002500.00,3,LRA,C. B. 2293 GRAND AVE,25 FT X 150 FT,GRAND PRAIRIE COMMON FIELDS ADDN,BND N-MULCAHY E-GRAND BL,1010.00,1.00,0.00,0.00,0.00,25.00,0.00,300.00,300.00,1600.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,11000.00,11/15/84 0:00,1997.00,19.00,9.00,1111.00,1024.00,9.00,63106.00,229300250,3/25/13 0:00,1109 N GRAND BLVD,38.6442950,-90.2286490,Covenant Blu / Grand Center,19.00,,vacant lot,3735.00
12293000260.00,2293.00,22930002600.00,3,LRA,C. B. 2293 GRAND,25 FT X 150 FT,'DODD''S SUR ADDN',"""EL GRAND 56''''4 1/2"""""""""""""""""""""""""""""""" NL FINNEY AV""""""""""""""""''""""""""""""'""",5000.00,1.00,0.00,0.00,0.00,0.00,3750.00,5000.00,5000.00,15500.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,2000.00,19.00,9.00,1111.00,1024.00,9.00,63106.00,229300260,3/25/13 0:00,1107 N GRAND BLVD,38.6442330,-90.2286840,Covenant Blu / Grand Center,19.00,,vacant lot,3734.00
13752000530.00,3752.00,37520005300.00,3,LRA,C. B. 3752 WASHINGTON,25 FT X 150 FT,VASQUEZ ARPENT ADDN,LOT PT 18,5000.00,1.00,0.00,0.00,0.00,0.00,3750.00,4800.00,4800.00,15000.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,0.00,18.00,9.00,1193.00,1004.00,2.00,63108.00,375200530,3/25/13 0:00,3947 WASHINGTON AV,38.6431320,-90.2400080,Central West End,18.00,,vacant lot,3679.00
11037000190.00,1037.00,10370001900.00,3,LRA,C. B. 1037 SAMUEL SHEPARD DR,27 FT X 134 FT 8 IN,STODDARD ADDN BLOCK 12,BOUNDARIES N-ALLEY E-HAMPTON INV CO,1010.00,1.00,0.00,0.00,0.00,0.00,3636.00,650.00,650.00,3400.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,0.00,19.00,9.00,1211.00,1026.00,1.00,63103.00,103700190,3/25/13 0:00,3123 SAMUEL SHEPARD DR,38.6383840,-90.2235740,Midtown,19.00,,vacant lot,3636.00
12293000200.00,2293.00,22930002000.00,3,LRA,C. B. 2293 GRAND AVE,23 FT 8 5/8 IN X 150 FT,STONES ADDN,BOUNDARY N-30 FT 8 3/8 IN S,1010.00,1.00,0.00,1.00,0.00,23.71,0.00,290.00,290.00,1500.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,2001.00,19.00,9.00,1111.00,1024.00,9.00,63106.00,229300200,3/25/13 0:00,1127 N GRAND BLVD,38.6447350,-90.2283980,Covenant Blu / Grand Center,19.00,,vacant lot,3543.00
15051010110.00,5051.01,50510101106.00,3,LRA,C. B.5051A DELMAR BLVD,25 FT X 140 FT,FOREST PK BLVD ADDN,LOT E-39,5000.00,0.00,0.00,2.00,0.00,0.00,3500.00,5400.00,5400.00,16800.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,1997.00,28.00,7.00,1121.00,1000.00,11.00,63108.00,505101110,3/25/13 0:00,5102 DELMAR BLVD,38.6516230,-90.2674550,,28.00,,vacant lot,3530.00
11037000130.00,1037.00,10370001300.00,3,LRA,C. B. 1037 SAMUEL SHEPARD DR,26 FT X 134 FT 8 IN,STODDARD ADDN,BLOCK 72 LOT 1 E-2,1010.00,1.00,0.00,0.00,0.00,0.00,3501.00,630.00,630.00,3300.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,0.00,19.00,9.00,1211.00,1026.00,1.00,63103.00,103700130,1/7/86 0:00,3101 SAMUEL SHEPARD DR,38.6382340,-90.2228730,Midtown,19.00,,vacant lot,3501.00
11037000160.00,1037.00,10370001600.00,3,LRA,C. B. 1037 SAMUEL SHEPARD DR,25 FT X 134 FT 8 IN,STODDARD ADDN,BLOCK 72 LOT 4,1010.00,1.00,0.00,0.00,0.00,0.00,3366.00,590.00,590.00,3100.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,0.00,19.00,9.00,1211.00,1026.00,1.00,63103.00,103700160,7/24/85 0:00,3107 SAMUEL SHEPARD DR,38.6382880,-90.2231250,Midtown,19.00,,vacant lot,3367.00
11037000150.00,1037.00,10370001500.00,3,LRA,C. B. 1037 SAMUEL SHEPARD DR,25 FT X 134 FT 5 IN,STODDARD ADDN,BLOCK 72 LOT 3,1010.00,1.00,0.00,2.00,0.00,25.00,0.00,190.00,190.00,1000.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,2001.00,19.00,9.00,1211.00,1026.00,1.00,63103.00,103700150,3/25/13 0:00,3105 SAMUEL SHEPARD DR,38.6382700,-90.2230410,Midtown,19.00,,vacant lot,3367.00
11880000170.00,1880.00,18800001700.00,3,LRA,C. B. 1880 GRAND,27 FT 6 IN X 120 FT 5 IN,BEAUMONT ADDN,BLOCK 4 LOT 10,5000.00,1.00,0.00,2.00,0.00,0.00,3312.00,2100.00,2100.00,6600.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,7000.00,4/24/79 0:00,2001.00,4.00,9.00,1115.00,2016.00,6.00,63106.00,188000170,3/25/13 0:00,1725 N GRAND BLVD,38.6497710,-90.2252800,JeffVanderLou,4.00,,vacant lot,3351.00
11023040100.00,1023.04,10230401000.00,3,LRA,C.B.1023 W SAMUEL SHEPARD DR,24 FT 4 IN X 134 FT 6 IN,STODDARD ADDN,BLOCK 58,1010.00,1.00,0.00,2.00,0.00,0.00,3276.00,570.00,570.00,3000.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,1996.00,19.00,9.00,1211.00,1025.00,1.00,63103.00,102304100,3/25/13 0:00,3104 SAMUEL SHEPARD DR,38.6377630,-90.2231900,Midtown,19.00,,vacant lot,3289.00
11037000140.00,1037.00,10370001400.00,3,LRA,C. B. 1037 SAMUEL SHEPARD DR,24 FT X 134 FT 8 IN,STODDARDS ADDN,BLOCK 72 LOT W-2,1010.00,1.00,0.00,0.00,0.00,0.00,3232.00,570.00,570.00,3000.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,1989.00,19.00,9.00,1211.00,1026.00,1.00,63103.00,103700140,3/25/13 0:00,3103 SAMUEL SHEPARD DR,38.6382520,-90.2229580,Midtown,19.00,,vacant lot,3232.00
11880000200.00,1880.00,18800002000.00,3,LRA,C. B. 1880 GRAND,25 FT X 120 FT,PAGES 2ND ADDN,BLOCK 4 LOT 7,5000.00,1.00,0.00,0.00,0.00,0.00,3000.00,1900.00,1900.00,6000.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,1997.00,4.00,9.00,1115.00,2016.00,6.00,63106.00,188000200,3/25/13 0:00,1713 N GRAND BLVD,38.6495910,-90.2254090,JeffVanderLou,4.00,,vacant lot,3093.00
11880000180.00,1880.00,18800001800.00,A,LRA,C. B. 1880 GRAND,25 FT X 120 FT 8 IN,PAGES 2ND ADDN,BLOCK 4 LOT 9,1010.00,1.00,0.00,0.00,0.00,25.00,0.00,170.00,170.00,900.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,0.00,4.00,9.00,1115.00,2016.00,6.00,63106.00,188000180,3/25/13 0:00,1721 N GRAND BLVD,38.6497070,-90.2253260,JeffVanderLou,4.00,,vacant lot,3017.00
11880000190.00,1880.00,18800001900.00,3,LRA,C. B. 1880 GRAND AVE,25 FT X 120 FT 5 IN,PAGE 2ND ADDN,BLOCK 4 LOT 8,5000.00,1.00,0.00,0.00,0.00,0.00,3000.00,1900.00,1900.00,6000.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,1997.00,4.00,9.00,1115.00,2016.00,6.00,63106.00,188000190,3/25/13 0:00,1715 N GRAND BLVD,38.6496490,-90.2253670,JeffVanderLou,4.00,,vacant lot,3010.00
11023040040.00,1023.04,10230400400.00,3,LRA,C.B. 1023 W SAMUEL SHEPARD DR,19.17 FT X 134.67 FT,STODDARD ADDN,BOUNDED W-304 FT 10 IN E OF COMPTON,1010.00,1.00,0.00,0.00,0.00,0.00,2581.00,460.00,460.00,2400.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,1989.00,19.00,9.00,1211.00,1025.00,1.00,63103.00,102304040,1/28/87 0:00,3116 SAMUEL SHEPARD DR,38.6378490,-90.2235950,Midtown,19.00,,vacant lot,3000.00
11881000115.00,1881.00,18810001150.00,3,LRA,CB 1881 GRAND BLVD,30 FT X 120 FT,PAGES 2ND ADDN,LOT 5 N-4,5000.00,1.00,0.00,0.00,0.00,0.00,3600.00,2300.00,2300.00,7200.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,1998.00,19.00,9.00,1115.00,2015.00,6.00,63106.00,188100115,3/25/13 0:00,1525 N GRAND BLVD,38.6490200,-90.2258140,JeffVanderLou,19.00,,vacant lot,2976.00
11880000210.00,1880.00,18800002100.00,3,LRA,C. B. 1880 GRAND,25 FT X 120 FT,D D PAGE ADDN,BLOCK 4 LOT 6,5000.00,1.00,0.00,0.00,0.00,0.00,3000.00,1900.00,1900.00,6000.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,1991.00,4.00,9.00,1115.00,2016.00,6.00,63106.00,188000210,3/25/13 0:00,1711 N GRAND BLVD,38.6495300,-90.2254520,JeffVanderLou,4.00,,vacant lot,2934.00
10996000230.00,996.00,9960002300.00,3,LRA,CB 996 DELMAR,25 FT X 124 FT 8 IN,STODDARD ADDN,BLK 31 LOT 11,1010.00,1.00,0.00,0.00,0.00,0.00,3115.00,100.00,100.00,500.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,1998.00,19.00,9.00,1211.00,1031.00,1.00,63103.00,99600230,3/25/13 0:00,2827 DELMAR BLVD,38.6382270,-90.2179500,JeffVanderLou,19.00,,vacant lot,2780.00
11023040060.00,1023.04,10230400600.00,3,LRA,C.B. 1023 W SAMUEL SHEPARD DR,18.42 FT X 134.67 FT,STODDARD ADDN,BOUNDED W-342.42 FT E OF COMPTON,1010.00,1.00,0.00,0.00,0.00,0.00,2480.00,440.00,440.00,2300.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,1993.00,19.00,9.00,1211.00,1025.00,1.00,63103.00,102304060,3/25/13 0:00,3112 SAMUEL SHEPARD DR,38.6378230,-90.2234690,Midtown,19.00,,vacant lot,2590.00
11881000120.00,1881.00,18810001200.00,3,LRA,C. B. 1881 GRAND AVE,20 FT X 120 FT,PAGES 2ND ADDN,LOT S-4,5000.00,1.00,0.00,0.00,0.00,0.00,2400.00,1500.00,1500.00,4800.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,2005.00,19.00,9.00,1115.00,2015.00,6.00,63106.00,188100120,3/25/13 0:00,1523 N GRAND BLVD,38.6489640,-90.2258540,JeffVanderLou,19.00,,vacant lot,2549.00
11023040050.00,1023.04,10230400500.00,3,LRA,C.B. 1023W SAMUEL SHEPARD DR,18.42 FT X 134.67 FT,STODDARD ADDN,BOUNDED W-324 FT E OF COMPTON,1010.00,1.00,0.00,0.00,0.00,0.00,2480.00,150.00,150.00,800.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,1991.00,19.00,9.00,1211.00,1025.00,1.00,63103.00,102304050,1/3/89 0:00,3114 SAMUEL SHEPARD DR,38.6378370,-90.2235290,Midtown,19.00,,vacant lot,2117.00
11045000060.00,1045.00,10450000600.00,3,LRA,C. B. 1045 DELMAR,16 FT 7 IN / 16 FT 10 IN X,124 FT 8 IN / IRREG,SCHOOL SEC 16 ADDN BLK 16 LOT PT OF 14,1010.00,1.00,0.00,0.00,0.00,1.64,0.00,20.00,20.00,100.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,1991.00,19.00,9.00,1211.00,1016.00,1.00,63103.00,104500060,3/25/13 0:00,3312 DELMAR BLVD,38.6393500,-90.2261850,Covenant Blu / Grand Center,19.00,,vacant lot,2089.00
11045000090.00,1045.00,10450000900.00,3,LRA,C. B. 1045 DELMAR,17 FT 7 IN / 17 FT 9 IN X,IRREG,SCHOOL SEC 16 BLK 16 LOT PT 15,1010.00,1.00,0.00,0.00,0.00,0.00,1406.00,250.00,250.00,1300.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,0.00,19.00,9.00,1211.00,1016.00,1.00,63103.00,104500090,3/25/13 0:00,3306 DELMAR BLVD,38.6393750,-90.2259950,Covenant Blu / Grand Center,19.00,,vacant lot,1395.00
11045000100.00,1045.00,10450001000.00,3,LRA,C. B. 1045 DELMAR,17 FT 7 IN / 17 FT 6 IN X IRREG,SCHOOL SEC 16,LOT PT-15-16 BLOCK 16,1010.00,1.00,0.00,0.00,0.00,0.00,1360.00,250.00,250.00,1300.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,0.00,19.00,9.00,1211.00,1016.00,1.00,63103.00,104500100,3/25/13 0:00,3304 DELMAR BLVD,38.6393630,-90.2259350,Covenant Blu / Grand Center,19.00,,vacant lot,1385.00
11045000110.00,1045.00,10450001100.00,3,LRA,C. B. 1045 DELMAR,17 FT 7 IN / 17 FT 6 IN X IRREG,SCHOOL SEC 16 BLK 16,LOT PT 16,1010.00,1.00,0.00,0.00,0.00,0.00,1360.00,250.00,250.00,1300.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,0.00,19.00,9.00,1211.00,1016.00,1.00,63103.00,104500110,3/25/13 0:00,3302 DELMAR BLVD,38.6393500,-90.2258760,Covenant Blu / Grand Center,19.00,,vacant lot,1385.00
14999000530.00,4999.00,49990005307.00,3,LRA,C.B.4999 HODIAMONT AVE,114 FT 10 IN X 97 FT / 107 FT 3 3/4 IN,MT AUBURN ADDN,LOT 1 & W-2,5000.00,0.00,0.00,0.00,0.00,0.00,11731.00,3700.00,3700.00,11700.00,0.00,Two Family Dwelling / Neighborhood Commercial District,0.00,0.00,0.00,0.00,0.00,,2004.00,22.00,7.00,1062.00,3007.00,9.00,63112.00,499900530,3/25/13 0:00,1600 HODIAMONT AV,38.6760340,-90.2843340,,22.00,,vacant lot,11646.00
